Montanha,Altitude (metros),Face,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Travessia Dois em um,3.0,V,,,,70.0,Antônio 'Tonico' Magalhães; Felipe Barbosa; Juliano Magalhães,14/10/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Depois da tempestade,,III,,,,20.0,Aline Garcia; Pedro Bugim,28/01/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Maré negra,,V,,,E3,25.0,André Ilha; Yuri Berezovoy,15/01/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Insolação,,IIIsup,,,,20.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,23/12/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Ressaca,,V,,,,15.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,23/12/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Rio 40 graus,,VIIa,,,,12.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,26/12/2005
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Bicho-papão,,VIIIa/b,,,,10.0,André Ilha; Paulo Henrique 'PH' Santos,29/01/2006
Morro do Leme,125,Sudoeste (Praia do Leme/Copacabana),Marola,,VIIIb,,,,15.0,Marcos Fontainha; Paulo Henrique 'PH' Santos,08/01/2006
Morro do Leme,125,Falésia à beira-mar (Forte Duque de Caxias),Jovem Colonião,,VIIa,,,,20.0, Paulo Henrique 'PH' Santos (solo),06/04/2005
Morro do Urubu,120,Sudoeste (Forte Duque de Caxias),Arco do Triunfo,5.0,VIIa,,,,45.0,Marcus Vinícius; Paulo Henrique 'PH' Santos,03/04/2004
Morro do Urubu,120,Sudoeste (Forte Duque de Caxias),Unha de gato,4.0,VIIc,,,E2/3,45.0,Paulo Henrique 'PH' Santos; Thiago Pedroso,21/03/2004
Morro do Urubu,120,Sudoeste (Forte Duque de Caxias),Mundo cão,,VIIIb/c,,,,30.0,André Ilha; Paulo Henrique 'PH' Santos; Thiago Pedroso,08/05/2004
Morro do Urubu,120,Leste,Zé Buscapé,2.0,IIIsup,,,,105.0,Leonardi Cupollilo; Paulo Henrique 'PH' Santos,08/08/2004
Morro do Urubu,120,Leste,Variante do Zé,,Vsup,,,,20.0,Leonardi Cupollilo; Paulo Henrique 'PH' Santos,08/08/2004
Morro do Urubu,120,Falésia da Enseada,Estopim,,V,,,E2,35.0,Patrícia Duffles; Paulo Henrique 'PH' Santos,19/03/2005
Morro de São João,242,Face Sul (Parque da Chacrinha),Ascensão e Queda,5.0,VI,A0(3),,E2/3,110.0,Alfredo Neto;Flávio Abreu;Guilherme 'Piu-Piu' Fonseca,10/10/2002
Morro de São João,242,Face Sul (Parque da Chacrinha),Variante João Sebastião,,IV,,,,20.0,Alfredo Neto;Ricardo Bemvindo,29/12/2002
Morro de São João,242,Face Sul (Parque da Chacrinha),Fissura do inglês,4.0,VIsup,,,E2/3,170.0,Heckel Capucci; Rodolfo Chermont,13/03/1970
Morro de São João,242,Face Sul (Parque da Chacrinha),Sucata,3.0,IIIsup,,,E2/3,160.0,Álvaro Borges; Carlos Eduardo 'Cadu' Pinto; Heldo da Fonseca; Sebastião Cazeiro,16/10/1971
Morro de São João,242,Face Sul (Parque da Chacrinha),Fissura São João,4.0,VI,,,E2/3,105.0,Alfredo Maciel;Arcindo Madeira;Edi Martins; Mário Arnauld,12/02/1978
Morro de São João,242,Face Sul (Parque da Chacrinha),Variante Baba Roga,,VI,,,,40.0,Marcello Ramos;Predrag Panevski; Russ Clune,1984
Morro de São João,242,Face Sul (Parque da Chacrinha),Andrômeda,,VIIIc,,,,30.0,José Marcos; Marcello Ramos; Marcelo Braga; Pascal,1986
Morro de São João,242,Face Sul (Parque da Chacrinha),Sombras eternas,,IXa,,,,20.0,Alexandre Barradas; André Luís; Eduardo Bittencourt; Márcio Lozada,1990
Morro de São João,242,Face Sul (Parque da Chacrinha),Filhos do meio-fio,,VIIIc,,,,30.0,Alexandre Portela; Luis Cláudio 'Pita' Bittencourt; Sérgio Tartari,
Morro de São João,242,Face Sul (Parque da Chacrinha),Meteorito,,VIIIc,,,,30.0,Alexandre Portela; Sérgio Tartari,
Morro de São João,242,Face Sul (Parque da Chacrinha),Nebulosa,,VIIIb,,,,30.0,Alexandre Portela; Sérgio Tartari,
Morro de São João (Pedra da Abelha),242,Face Sul (Parque da Chacrinha),Shackleton,,VI,,,,15.0,Alfredo Neto; Hernando Bedoya; Sérgio 'Bula' Rozencwaig,26/01/2002
Morro de São João,242,Face Noroeste (Balancé),Copa do Mundo,,IV,,,,45.0,Hildson 'Hillo' Santana; André Almeida; Robson Richers,1994
Morro de São João,242,Face Noroeste (Cemitério São João Batista),Olhos de anjo,3.0,Vsup,,,E2/3,85.0,Ana Paula Braga; Renato Souto,20/10/1998
Morro de São João,242,Face Noroeste (Cemitério São João Batista),São Pedro,2.0,IVsup,,,,110.0,Edi Martins; Mário Arnaud,23/02/1979
