id,nome,grau,crux,artificial,duracao,exposicao,extensao,conquistadores,data,id_montanha,id_face,id_fonte,id_variante,id_croqui
109,Teoria da Linha Reta,,VII(3),,,,15.0,André Almeida; Flávio Leone,2006-10-13,9,26.0,1,,
110,Chaminé do Morcego,,IIsup,,,,45.0,Fritz Reuter; Haroldo Penna; Rudolph Dietrich,1931-11-29,9,26.0,1,22.0,
111,Porco-espinho,,V,,,,20.0,André 'Rato' Kühner; Nilton Campos,2004-01-30,9,27.0,1,,
112,Donos do nada,,VIsup,,,,13.0,André 'Rato' Kühner; José Carlos 'Leleco' Leal,2004-01-06,9,27.0,1,,
113,Porcos guerreiros,,VII,,,,30.0,André Ilha; Pedro 'Pow' Aragão,2002-01-27,9,27.0,1,25.0,
114,Guilherme,,VIIb,,,,25.0,Guilherme Ribeiro; José Roberto Costa; Waldemar 'Waldo' Guimarães,1965-01-01,9,27.0,1,,
115,Chaminé do Funil,2.0,III,,,,50.0,Fritz Reuter; Haroldo Penna,1931-11-22,9,27.0,1,,
116,Mangangá,,IVsup,,,E3,40.0,Aline Rezende; Bruno Gandelman; Gustavo Sampaio,2000-01-01,9,27.0,1,,
117,Alpamayo,4.0,VIsup,,,,75.0,André Ilha; Anthony 'Tony' Adler,1979-02-24,9,27.0,1,,
118,Achados e Perdidos,,V,,,,25.0,André 'Rato' Kühner; Fernando Sabioni; Nilton Campos,2004-01-17,9,27.0,1,,
119,Meia-sola,,IVsup,,,E3,20.0,Marco 'Skaninho' Piffer; Nilton Campos,2004-01-24,9,27.0,1,,
120,Tá pronto,,V,,,E2/3,30.0,André 'Rato' Kühner; Nilton Campos,2004-01-14,9,27.0,1,,
121,Vertigem,,Vsup,,,,40.0,Flávio Leone; Márcio Gonçalves,2010-04-28,9,27.0,1,,
122,Adrenalina Mil,5.0,VIIa,,,,85.0,Luciano Perez; Luis Octávio 'Tavinho' Cardozo;Mário Arnauld;Maurício Mota; Nelson Machado,1988-01-01,9,27.0,1,,
123,Urbanóide,4.0,V,,,E2/3,105.0,Carlos Alexandre; Giovanni Tartari; Marcelo Braga; Sérgio Tartari,1983-08-29,9,27.0,1,26.0,
124,Lembranças de um passado,4.0,V,,,,105.0,Júlio Campanella; Paulo Oliveira; Felipe 'Felipinho' Assad; Lino,2001-09-21,9,27.0,1,,
125,22 de outubro,4.0,V,,,,100.0,Leandro Chen; Rafael Wojcik,2001-10-24,9,27.0,1,,
126,Gasparito,4.0,IVsup,,,,135.0,Cid Villar; José 'Camelô' Lozada; Jorge 'JL' Luiz; Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1986-01-01,9,27.0,1,,
127,Carlos Alexandre,3.0,III,,,E2/3,170.0,Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1978-01-01,9,27.0,1,27.0,
128,Falcão à espreita,4.0,IVsup,,,E3,100.0,Alcino Falcão; André Kühner; Leandro Chen; Rodrigo Molina,2004-01-01,9,27.0,1,,
129,Caverna de cristal,4.0,VI,,,,140.0,Fernando Vieira; Juliano Lindner; Flávia Maximo,2001-08-10,9,27.0,1,,
130,Brilho da noite,3.0,IIIsup,,,,120.0,Fernando Vieira; Juliano Lindner,2001-01-17,9,27.0,1,,
131,Paixão de Cris,3.0,IIIsup,,,,90.0,Dalton Chiarelli; Juratan Câmara; Marco Vidon; Pedro Caliano,1987-01-01,9,27.0,1,,
132,Labirintite,4.0,IVsup,,,,100.0,Fábio Serfaty; Márcio Carrilho,2002-01-01,9,27.0,1,,
133,Rumores da Algazarra,3.0,Vsup,,,,100.0,Jorge Schubert; Renato Souto,1988-09-10,9,27.0,1,,
134,Via Láctea,2.0,IIIsup,,,,95.0,Benito Esteves; José 'Camelô' Lozada; Pedro Caliano; Renato Souto; Roberto Luiz 'Puú' Souza; Wagner Lozada,1980-06-26,9,27.0,1,,
135,Guanabara,2.0,IV,,,,95.0,Benito Esteves; José 'Camelô' Lozada; Juratan Câmara; Renato Souto,1979-02-02,9,27.0,1,,
136,Mandei um barro,,IV,,,,10.0,Alexandre Faia,2011-03-01,10,28.0,2,2.0
137,Os Amanayés,,IV,,,,15.0,Alexandre Faia,2011-02-01,10,28.0,2,2.0
138,Noite e dia,,VIIa,,,,20.0,Pedro Bugim; Maria Fernanda Patrício,2012-07-15,10,28.0,2,2.0
139,Sulamita,,VIsup,,,,20.0,Paulo 'Macaco',1997-01-01,10,28.0,2,2.0
140,Livrai-me de mim mesmo,,IV,,,,20.0,Alexandre Faia; Ricardo Almeida,2011-04-01,10,28.0,2,2.0
141,Retinha do Graal,,Vsup,,,,15.0,Eduardo '47',2011-03-01,10,28.0,2,2.0
142,As bolas do Wilson,,IIsup,,,,20.0,Pedro Bugim; Sérgio 'Garfield',2011-04-21,10,28.0,2,2.0
143,23 de abril,,IIIsup,,,,20.0,Pedro Bugim;Laura Petroni; João Pedro Vergnano,2019-04-23,10,28.0,2,2.0
144,Vovô Abílio foi às compras,,IVsup,,,,15.0,Alexandre Faia; Ricardo Almeida,2011-03-01,10,28.0,2,2.0
145,Sônia Trote,,III,,,,20.0,Alexandre Faia; Ricardo Almeida,2011-03-01,10,28.0,2,2.0
146,Saidinha de banco,,III,,,,20.0,Alexandre Faia; Ricardo Almeida,2011-03-01,10,28.0,2,2.0
147,30 de setembro,,IIIsup,,,,20.0,Pedro Bugim;Laura Petroni; Carlos Alberto Carrozino,2018-09-30,10,28.0,2,2.0
148,13 de outubro,,IVsup,,,,20.0,Pedro Bugim;Laura Petroni; João Pedro Vergnano,2019-10-13,10,28.0,2,2.0
149,Cariocando,,VIIIc,,,,9.0,Hildson 'Hillo' Santana; Carlos San Miguel,2003-05-01,12,,1,,
150,Ilusão idiótica,,Vsup,,,E3,45.0,André Ilha; Yuri Berezovoy,2007-01-07,13,29.0,1,31.0,
151,Cresça e apareça,,V(2),,,,10.0,André Ilha; Kika Bradford; Yuri Berezovoy,2007-07-07,13,30.0,1,,
152,Ponto final,,VIIa,A1,,,20.0,André Ilha; Kika Bradford; Yuri Berezovoy,2008-02-24,13,30.0,1,,
153,Funeral elétrico,,VIsup,,,E3,10.0,André Ilha; Yuri Berezovoy,2007-02-11,13,30.0,1,,
154,"Nosso povo, nossa gente",,II,,,,10.0,André Ilha; Yuri Berezovoy,2007-03-11,13,30.0,1,,
155,Esquadrilha da fumaça,,III,,,,10.0,André Ilha; Yuri Berezovoy,2007-03-04,13,30.0,1,,
156,Nocaute,,VI,,,,12.0,André Ilha; Yuri Berezovoy,2006-11-25,13,30.0,1,,
157,Viagra,,VIIa,,,,15.0,Marcelo 'Pedal Verde' Silva; Ricardo Zugliani,NULL,14,31.0,1,,
158,Kenga,,VIII,,,,15.0,Marcelo 'Pedal Verde' Silva; Ricardo Zugliani,NULL,14,31.0,1,,
159,Ejaculatio Praecocis,,VIIIa,,,E3,15.0,Alexandre 'Prusik' Moreira; Marcelo 'Cabeludo' Gorini,2000-01-01,14,31.0,1,,
